Portal                                	 16520 	4.20048 	4.02347
Souls                                 	 20519 	4.06012 	3.94075
Metal Gear Solid                      	 16897 	4.07847 	3.93534
Super Mario Galaxy                    	  7199 	4.2526  	3.92494
Red Dead                              	  9461 	4.1377  	3.90253
Mother                                	  5616 	4.283   	3.89486
Half-Life                             	 18700 	4.0125  	3.89580
Metal Gear                            	 19701 	3.98616 	3.88014
The Legend of Zelda                   	 37106 	3.93391 	3.87820
Silent Hill                           	 12041 	4.01619 	3.85498
Super Mario World                     	  8265 	4.08358 	3.85128
Undertale                             	  8244 	4.07814 	3.84778
Persona                               	 11711 	4.00701 	3.84588
Minecraft                             	 10854 	3.9895  	3.82634
Super Mario                           	 53574 	3.84512 	3.81396
Doom                                  	 15028 	3.89744 	3.79292
Celeste                               	  4747 	4.11718 	3.78980
Metroid                               	 11773 	3.89771 	3.77386
Chrono                                	  3034 	4.24076 	3.76913
The Witcher                           	  8847 	3.92087 	3.76318
Like a Dragon                         	 10479 	3.89626 	3.76317
The Last of Us                        	  7423 	3.94694 	3.76084
Nier                                  	  4248 	4.06807 	3.75335
Katamari                              	  3625 	4.09856 	3.74442
Hotline Miami                         	  6671 	3.92531 	3.73833
Donkey Kong Country                   	  6604 	3.92486 	3.73709
Castlevania: Dracula X                	  3028 	4.13358 	3.73269
Super Smash Bros.                     	 14068 	3.81104 	3.72719
Baldur's Gate                         	  3291 	4.07681 	3.72389
Grand Theft Auto                      	 27140 	3.75871 	3.71756
Resident Evil                         	 25535 	3.75659 	3.71372
The Binding of Isaac                  	  5928 	3.88237 	3.70521
Pokémon Black & White                 	  4411 	3.9176  	3.69428
Metroid Prime                         	  3405 	3.98166 	3.69358
Dungeons & Dragons                    	  5895 	3.85775 	3.69247
Ace Attorney                          	  6578 	3.83705 	3.69062
Max Payne                             	  4689 	3.89479 	3.69006
Deus Ex                               	  4970 	3.85639 	3.67786
Mario                                 	 92515 	3.68806 	3.67930
Hitman: World of Assassination        	  3208 	3.93612 	3.67144
Dishonored                            	  5088 	3.82852 	3.66693
Forgotten Realms                      	  4638 	3.83314 	3.66208
Mushroom Kingdom                      	111988 	3.67079 	3.66468
System Shock                          	  1717 	4.10255 	3.65725
God of War                            	  8653 	3.74687 	3.65802
Left 4 Dead                           	  5743 	3.78885 	3.65650
Psychonauts                           	  2250 	3.98929 	3.65512
Tetris                                	  5249 	3.79638 	3.65419
When They Cry                         	  1856 	4.04414 	3.65130
Star Wars Knights of the Old Republic 	  2591 	3.93021 	3.65054
Yoshi's Island                        	  2343 	3.94409 	3.64611
Civilization                          	  6003 	3.76461 	3.64721
Sid Meier's                           	  6411 	3.75636 	3.64681
Skate                                 	  2389 	3.92695 	3.64284
Pikmin                                	  2661 	3.89744 	3.64270
Paper Mario                           	  4849 	3.77499 	3.63933
Pathologic                            	  1180 	4.16602 	3.63424
Mass Effect                           	  8695 	3.70668 	3.63443
Age of Empires                        	  3659 	3.8012  	3.63251
Shin Megami Tensei                    	  3458 	3.80568 	3.63056
StarCraft                             	  1979 	3.92076 	3.62662
Batman: Arkham                        	  9042 	3.69265 	3.62765
Tony Hawk's Pro Skater                	  5019 	3.74223 	3.62645
Halo                                  	 15183 	3.66184 	3.62447
Shovel Knight                         	  2326 	3.84496 	3.61765
Rhythm Heaven                         	  1381 	3.98831 	3.61536
Mario Kart                            	 16294 	3.65076 	3.61824
Danganronpa                           	  4606 	3.7215  	3.61288
BioShock                              	 10870 	3.6588  	3.61286
LISA                                  	  1664 	3.89292 	3.60838
Final Fantasy                         	 23370 	3.62977 	3.60945
RollerCoaster Tycoon                  	  2039 	3.8298  	3.60563
The Elder Scrolls                     	 13767 	3.64211 	3.60800
Zero Escape                           	  1982 	3.83461 	3.60522
Monkey Island                         	  1852 	3.84725 	3.60440
Umineko When They Cry                 	   873 	4.09661 	3.60146
Quake                                 	  4167 	3.70792 	3.60258
Heroes of Might and Magic             	  1903 	3.82832 	3.60139
Xeno                                  	  2726 	3.75724 	3.60058
XCOM                                  	  2364 	3.77715 	3.59943
Tony Hawks Underground                	  1893 	3.81787 	3.59858
Dead Space                            	  3920 	3.70539 	3.59894
Marvel's Spider-Man                   	  4336 	3.69214 	3.59766
S.T.A.L.K.E.R.                        	  2620 	3.75164 	3.59694
Burnout                               	  3207 	3.71988 	3.59573
Tony Hawk's                           	  8138 	3.64677 	3.59697
Higurashi When They Cry               	   953 	3.99779 	3.59356
Banjo-Kazooie                         	  2576 	3.74488 	3.59410
WarioWare                             	  3223 	3.70463 	3.59059
Splatoon                              	  2253 	3.74833 	3.58911
Final Fantasy Tactics                 	  1055 	3.91399 	3.58684
Xenoblade Chronicles                  	  2080 	3.75402 	3.58716
The Legend of Heroes                  	  1234 	3.86204 	3.58606
Blood                                 	   970 	3.93041 	3.58512
Monster Hunter                        	  3188 	3.69323 	3.58618
Pokémon Mystery Dungeon               	  2374 	3.72013 	3.58339
Castlevania                           	 10631 	3.61636 	3.58500
Yoshi                                 	  3651 	3.66867 	3.58201
Sly Cooper                            	  2150 	3.72667 	3.58135
Jet Set Radio                         	  1420 	3.78257 	3.57772
Subnautica                            	  1829 	3.72689 	3.57540
Slaves to Armok God of Blood          	   534 	4.06906 	3.57333
Unreal                                	  1614 	3.73983 	3.57386
Guilty Gear                           	  1982 	3.70923 	3.57392
Thief                                 	  1824 	3.71572 	3.57269
The Silver Case                       	   605 	3.99484 	3.57185
Kirby                                 	 11126 	3.59943 	3.57489
Gran Turismo                          	  2834 	3.65988 	3.57112
Dragon Quest                          	  3999 	3.6312  	3.56999
Wario                                 	  5404 	3.61405 	3.56940
Forza Horizon                         	  2763 	3.65313 	3.56826
Ratchet & Clank                       	  6258 	3.60773 	3.56929
Marvel vs. Capcom                     	  1718 	3.70102 	3.56742
Fear & Hunger                         	   510 	3.99918 	3.56598
Donkey Kong                           	 10503 	3.59095 	3.56854
Rayman                                	  4730 	3.6146  	3.56683
Fire Emblem                           	  6421 	3.60196 	3.56680
Steins;Gate                           	   729 	3.85306 	3.56424
Animal Crossing                       	  6543 	3.60076 	3.56652
Luigi's Mansion                       	  2325 	3.65347 	3.56386
FZero                                 	  2028 	3.66081 	3.56240
Rock Band                             	  2722 	3.63615 	3.56253
SSX                                   	  1460 	3.68179 	3.55899
SWAT                                  	   451 	3.93625 	3.55756
The Great Ace Attorney                	   472 	3.87354 	3.55419
Forza                                 	  3645 	3.59949 	3.55569
The House in Fata Morgana             	   297 	4.01121 	3.55180
Tekken                                	  5545 	3.58156 	3.55428
DoDonPachi                            	   540 	3.80185 	3.55158
Suikoden                              	   659 	3.75209 	3.55112
Shenmue                               	   933 	3.6776  	3.54903
Capcom vs. SNK                        	   395 	3.82615 	3.54738
Fatal Frame                           	   775 	3.69006 	3.54744
Myst                                  	  1040 	3.65181 	3.54716
Vampire                               	   482 	3.76649 	3.54668
Metal Slug                            	  2171 	3.59726 	3.54715
Diablo                                	  4138 	3.57283 	3.54690
Fallout                               	 22862 	3.553   	3.54819
Uncharted                             	  9666 	3.55619 	3.54582
PunchOut!!                            	  1401 	3.59331 	3.54116
Street Fighter                        	  6312 	3.5554  	3.54253
The Last Blade                        	   191 	3.87141 	3.53953
Echo                                  	   330 	3.71624 	3.53872
SoulCalibur                           	  2475 	3.56469 	3.53940
Boku no Natsuyasumi                   	    94 	4.06128 	3.53716
EA Sports NCAA Football               	   156 	3.83071 	3.53659
Fatal Fury                            	   606 	3.5955  	3.53504
Truck Simulator                       	  1197 	3.56061 	3.53420
Lego Star Wars                        	  4575 	3.54427 	3.53557
Star Control                          	    96 	3.70979 	3.53176
LittleBigPlanet                       	  2733 	3.54168 	3.53291
Touhou Project                        	  2869 	3.54086 	3.53278
Euro Truck Simulator                  	   882 	3.54008 	3.53033
Batman                                	 12464 	3.53041 	3.52998
Super Monkey Ball                     	  1841 	3.52217 	3.52730
Wii Sports                            	  3638 	3.52206 	3.52630
Perfect Dark                          	   735 	3.46717 	3.52211
Monster Rancher                       	   163 	3.23497 	3.52106
PICO PARK                             	    92 	3.00728 	3.52095
Conker                                	   738 	3.45606 	3.52086
Metal Gear Ac!d                       	    88 	2.92    	3.52002
Tom Clancy's Splinter Cell            	  2197 	3.5011  	3.52140
Mega Man X                            	  2995 	3.50719 	3.52163
Crash Bandicoot                       	  9940 	3.51148 	3.51804
Luigi                                 	  6328 	3.50648 	3.51735
Pokémon                               	 49786 	3.51791 	3.51952
Kingdom Hearts                        	  6325 	3.50051 	3.51428
Star Ocean                            	   395 	3.22534 	3.51001
Story of Seasons                      	   886 	3.38354 	3.51007
Destroy All Humans!                   	   631 	3.29509 	3.50649
Ninja Gaiden                          	  1618 	3.42545 	3.50679
Devil May Cry                         	  6672 	3.48913 	3.50789
Contra                                	  1945 	3.43082 	3.50475
Mana                                  	   961 	3.34724 	3.50365
Phantasy Star                         	   751 	3.30035 	3.50330
The Oregon Trail                      	   285 	2.94326 	3.50215
Warcraft                              	  5841 	3.47928 	3.50433
Godzilla                              	   235 	2.79115 	3.50089
Adventure Island                      	   373 	3.05477 	3.50095
Gundam                                	   315 	2.94429 	3.49952
Sonic Adventure                       	  3063 	3.44597 	3.50073
Titanfall                             	  3864 	3.45746 	3.50078
Galaga                                	   986 	3.31084 	3.49792
Prince of Persia: The Sands of Time   	  1705 	3.38771 	3.49747
Mirror's Edge                         	  2604 	3.42596 	3.49758
Alan Wake                             	  2503 	3.42066 	3.49686
ARMA                                  	   481 	3.07104 	3.49468
Horizon                               	  2217 	3.40714 	3.49586
Grand Theft Auto: Stories             	  1094 	3.30865 	3.49471
Bloons Tower Defense                  	  2640 	3.41669 	3.49443
Kirby's Dream Land                    	  1999 	3.3897  	3.49391
Star Wars: Battlefront                	  4506 	3.44346 	3.49209
SimCity                               	  1676 	3.3464  	3.48881
Sonic Advance                         	   994 	3.23511 	3.48687
South Park                            	  2760 	3.39797 	3.48743
Amnesia                               	  2071 	3.35624 	3.48435
Mafia                                 	  3136 	3.392   	3.48167
The Crew                              	   428 	2.75463 	3.47698
Star Fox                              	  2432 	3.35072 	3.47723
Wolfenstein                           	  4762 	3.40563 	3.47413
Bloons                                	  2845 	3.35682 	3.47327
Lego Harry Potter                     	   869 	3.07067 	3.47055
Prince of Persia                      	  2524 	3.33357 	3.47075
Digimon                               	   826 	3.03576 	3.46883
Mega Man                              	 10929 	3.43731 	3.46966
Driver                                	  1054 	3.10631 	3.46535
inFAMOUS                              	  2123 	3.27928 	3.46330
Spider-Man                            	  7908 	3.41395 	3.46335
Teenage Mutant Ninja Turtles          	  1734 	3.22818 	3.46108
Alien                                 	  2218 	3.27756 	3.46069
Sonic Boom                            	   207 	1.26498 	3.45285
Sniper Elite                          	   935 	2.95409 	3.45090
Pokémon Stadium                       	  1163 	3.04931 	3.45054
Star Wars                             	 19523 	3.43106 	3.45406
Bomberman                             	  1659 	3.16328 	3.44924
Crysis                                	  1594 	3.10818 	3.44007
The Lord of the Rings                 	  2101 	3.1778  	3.43734
Wii                                   	  5202 	3.31272 	3.42811
Tom Clancy's Rainbow Six              	  2285 	3.15369 	3.42486
Life Is Strange                       	  4145 	3.25267 	3.41554
Payday                                	  1805 	3.03578 	3.41421
SpongeBob SquarePants                 	  2496 	3.13958 	3.41392
Yu-Gi-Oh!                             	  1509 	2.95146 	3.41217
Call of Duty: Modern Warfare          	 10250 	3.34819 	3.41464
Mario & Sonic at the Olympic Games    	  1059 	2.75048 	3.41138
Call of Duty: Warzone                 	   712 	2.42195 	3.41069
Bubsy                                 	   386 	1.5292  	3.40718
PacMan                                	  3394 	3.18035 	3.40237
Counter-Strike                        	  6914 	3.29148 	3.40136
Just Cause                            	  2401 	3.05101 	3.39160
Marvel                                	 14175 	3.33153 	3.39000
Call of Duty: Black Ops               	  8220 	3.28644 	3.38833
WWE                                   	  4010 	3.1652  	3.38256
The Sims                              	  6444 	3.24015 	3.37885
The Sims                              	  6444 	3.24015 	3.37885
Clash                                 	   941 	2.40712 	3.37584
Battlefield                           	  6959 	3.24247 	3.37457
Saints Row                            	  4784 	3.17872 	3.37291
Superman                              	   422 	1.12621 	3.36992
Sim                                   	  8416 	3.2522  	3.36689
Dead Island                           	  1272 	2.55619 	3.35772
Mario Party                           	  5963 	3.18784 	3.35827
Watch_Dogs                            	  2365 	2.91318 	3.35390
DreamWorks                            	  1150 	2.43877 	3.35247
Mortal Kombat                         	  6790 	3.18319 	3.34474
Borderlands                           	  9112 	3.20421 	3.33258
The Simpsons                          	  2815 	2.89526 	3.32553
Harry Potter                          	  2714 	2.84644 	3.31527
Overwatch                             	  3601 	2.95092 	3.31112
Far Cry                               	  8342 	3.1528  	3.30949
Wizarding World                       	  3227 	2.866   	3.29595
Destiny                               	  2684 	2.77458 	3.29457
Nicktoons                             	  3505 	2.86891 	3.28439
EA Sports FIFA                        	  4780 	2.9479  	3.27022
Call of Duty                          	 27044 	3.1928  	3.25367
Disney                                	 14236 	3.12702 	3.24564
Assassin's Creed                      	 16119 	3.13687 	3.24274
Sonic the Hedgehog                    	 27489 	3.14037 	3.20978
Five Nights at Freddy's               	  5298 	2.7963  	3.18402
League of Legends                     	  2415 	2.30622 	3.17616
Lego                                  	 13262 	3.27876 	3.35635
Tom Clancy's                          	  5886 	3.22049 	3.37560
Hero                                  	  5464 	3.36476 	3.45036
Warhammer                             	  1039 	3.3603  	3.50385
